Tool,Total Duration,Setup Duration,Measurement Duration,Avg Download Speed
Serveo,19873.921499000004,2262.115920999997,17500.787243000006,320597.4
LocalTunnel,25342.393960000005,3857.841915000001,21435.854780999995,104739.6
Packetriot,1981.3214129999978,1062.667122999992,570.7488330000197,981.2
Tunwg,20196.41516200002,958.9505760000029,19187.522445999988,278519.8
Bore,26166.60008199999,643.5539879999997,25480.771993999995,217279.2
Localxpose,14821.637675000005,4388.232323000004,10379.481094000002,43792.2
Tailscale,10015.388014999975,10014.815525999991,0.0214389999746345,0
Pagekite,484.70092699999805,11.12872200000129,431.8966440000004,9397.0
Pinggy,9630.854759000009,2820.2560109999904,6600.449735000002,890120.2
Ngrok,12289.206519000001,10063.670606999998,2134.6969640000025,2595728.8
Expose,18968.490219999992,1115.0165669999988,17746.855880999996,301957.0
Btunnel,1356.082860000024,1355.7509740000241,0.015645999927073717,0
Zrok,37831.289313999994,7274.3668589999725,30470.24349200001,175042.8
LocalhostRun,18445.408538999996,2385.468072000018,15979.270511999988,345207.6
Cloudflared,5682.038986,69.62590999999975,5514.1010400000005,421663.6
Beeceptor,35237.03664899999,3083.1186790000065,31860.454253000033,173707.6
Telebit,10089.484651000006,10087.858674999996,0.011525000008987263,0
DevTunnel,4187.65728699998,3417.396347000031,721.374521000078,0.0
