Tool,Total Duration,Setup Duration,Measurement Duration,Avg Download Speed
Serveo,10028.671899999958,10027.979494999978,0.034712999942712486,0
LocalTunnel,10021.830107999995,10021.276129999998,0.025282999995397404,0
Packetriot,13298.593679999933,3454.4197529999074,9335.736332000466,156.33333333333334
BoreDigital,250623.2618770001,13512.627502999967,235882.76747699967,0.0
Tunwg,10017.521690000081,10017.005275999894,0.016484000021591783,0
Bore,209528.84978400008,1517.3823829999892,207973.96695100015,175462.0
Localxpose,10037.58132700005,10036.958971000044,0.02102099999319762,0
Tailscale,10021.345721000107,10020.834742999868,0.022210999857634306,0
Pagekite,298164.473875,8.47472800000105,297415.08438600006,97775.06666666667
Pinggy,124592.80561999988,5708.567885000026,118212.60956199991,465134.6666666667
Loophole,10019.608423999976,10019.084595000022,0.015504999901168048,0
Ngrok,10098.570109000008,10097.707570999999,0.048468999986653216,0
Expose,363665.91107299994,2207.8977990000276,361240.86205799994,80078.66666666667
Btunnel,10012.658528999891,10012.212596000172,0.020395000465214252,0
Zrok,10017.831720000133,10017.301686999854,0.017810999881476164,0
LocalhostRun,438436.80018600007,18257.99926199997,419961.1031259997,76686.73333333334
TunnelPyjamas,10018.545156999957,10018.024971999926,0.015785000286996365,0
Cloudflared,55066.319747,38.53836100000035,54094.819136,456874.5333333333
Beeceptor,485960.11302599986,39181.98343899986,445607.9658870003,72500.93333333333
Telebit,10017.719207999995,10017.007597999997,0.02996100002201274,0
DevTunnel,249867.73224100005,44962.68047800008,204036.45967400027,0.0
